TimeOn,TimeOff,StationNr,Alarmcode
2024-04-01 00:20:17,,2304520,25
2024-04-01 00:26:08,,2304511,25
2024-04-01 00:27:06,,2304511,20
2024-04-01 00:31:20,,2304511,25
2024-04-01 00:32:15,,2304511,20
2024-04-01 00:32:46,,2304511,25
2024-04-01 00:36:10,,2304520,20
2024-04-01 00:36:29,,2304510,25
2024-04-01 00:37:16,,2304510,20
2024-04-01 00:38:43,,2304510,25
2024-04-01 00:39:38,,2304510,20
2024-04-01 00:40:36,,2304510,25
2024-04-01 00:41:38,,2304510,20
2024-04-01 00:42:13,,2304510,25
2024-04-01 00:43:05,,2304510,20
2024-04-01 00:44:16,,2304510,25
2024-04-01 00:44:32,,2304511,20
2024-04-01 00:45:00,,2304510,20
2024-04-01 00:48:56,,2304520,25
2024-04-01 00:49:48,,2304520,20
2024-04-01 00:50:44,,2304520,25
2024-04-01 00:51:33,,2304520,20
2024-04-01 00:52:23,,2304520,25
2024-04-01 00:53:15,,2304520,20
2024-04-01 01:11:24,,2304518,127
2024-04-01 01:18:12,,2304512,25
2024-04-01 01:18:59,,2304512,20
2024-04-01 01:22:19,,2304512,25
2024-04-01 01:23:07,,2304512,20
2024-04-01 01:24:00,,2304512,25
2024-04-01 01:24:48,,2304512,20
2024-04-01 01:27:54,,2304512,25
2024-04-01 01:28:42,,2304512,20
2024-04-01 01:35:47,,2304512,25
2024-04-01 01:36:32,,2304512,20
2024-04-01 01:37:52,,2304512,25
2024-04-01 01:38:44,,2304512,20
2024-04-01 01:41:40,,2304512,25
2024-04-01 01:41:38,,2304528,20
2024-04-01 01:42:32,,2304512,20
2024-04-01 01:44:14,,2304512,25
2024-04-01 01:45:06,,2304512,20
2024-04-01 01:46:00,,2304512,25
2024-04-01 01:46:46,,2304512,20
2024-04-01 01:48:00,,2304516,127
2024-04-01 02:16:39,2024-04-01 02:28:19,2304527,73033
2024-04-01 02:24:59,,2304526,20
2024-04-01 02:31:19,2024-04-01 09:57:10,2304527,73033
2024-04-01 02:35:49,,2304525,20
2024-04-01 02:35:44,,2304515,20
2024-04-01 02:48:39,,2304525,25
2024-04-01 03:10:12,,2304525,20
2024-04-01 03:10:48,,2304530,127
2024-04-01 03:11:03,,2304519,20
2024-04-01 03:12:12,,2304527,20
2024-04-01 03:15:09,,2304526,25
2024-04-01 03:15:28,,2304515,25
2024-04-01 03:16:13,,2304525,25
2024-04-01 03:16:41,,2304514,25
2024-04-01 03:17:24,,2304520,25
2024-04-01 03:18:20,,2304520,20
2024-04-01 03:19:50,,2304519,25
2024-04-01 03:20:17,,2304526,20
2024-04-01 03:20:47,,2304519,20
2024-04-01 03:21:10,,2304519,25
2024-04-01 03:22:54,,2304517,25
2024-04-01 03:26:11,,2304511,25
2024-04-01 03:28:50,,2304525,20
2024-04-01 03:32:23,,2304511,20
2024-04-01 03:32:50,,2304517,20
2024-04-01 03:33:31,,2304521,25
2024-04-01 03:34:37,,2304515,20
2024-04-01 03:36:48,,2304519,20
2024-04-01 03:40:03,,2304515,25
2024-04-01 03:40:25,,2304517,25
2024-04-01 03:41:18,,2304527,25
2024-04-01 03:42:14,,2304523,25
2024-04-01 03:43:05,,2304523,20
2024-04-01 03:43:14,,2304519,25
2024-04-01 03:44:40,,2304525,25
2024-04-01 03:45:32,,2304525,20
2024-04-01 03:47:05,,2304524,20
2024-04-01 03:47:52,,2304514,20
2024-04-01 03:48:04,,2304515,20
2024-04-01 03:48:25,,2304521,20
2024-04-01 03:49:07,,2304528,25
2024-04-01 03:49:00,,2304517,20
2024-04-01 03:50:03,,2304528,20
2024-04-01 03:50:53,,2304519,20
2024-04-01 03:52:06,,2304515,25
2024-04-01 03:52:53,,2304515,20
2024-04-01 03:53:28,,2304515,25
2024-04-01 03:54:28,,2304515,20
2024-04-01 03:55:13,,2304515,25
2024-04-01 03:55:24,,2304525,25
2024-04-01 03:56:09,,2304515,20
2024-04-01 03:56:21,,2304525,20
2024-04-01 03:56:53,,2304515,25
2024-04-01 03:57:42,,2304515,20
2024-04-01 03:58:14,,2304525,25
2024-04-01 03:59:14,,2304525,20
2024-04-01 04:00:31,,2304519,25
2024-04-01 04:00:54,,2304525,25
2024-04-01 04:01:14,,2304526,25
2024-04-01 04:01:27,,2304519,20
2024-04-01 04:02:12,,2304526,20
2024-04-01 04:02:31,,2304515,25
2024-04-01 04:02:23,,2304528,25
2024-04-01 04:02:39,,2304526,25
2024-04-01 04:03:00,,2304519,25
2024-04-01 04:03:20,,2304515,20
2024-04-01 04:03:20,,2304528,20
2024-04-01 04:04:34,,2304515,25
2024-04-01 04:05:13,,2304524,25
2024-04-01 04:05:28,,2304515,20
2024-04-01 04:05:41,,2304528,25
2024-04-01 04:06:06,,2304515,25
2024-04-01 04:06:34,,2304528,20
2024-04-01 04:14:21,,2304510,25
2024-04-01 04:15:07,,2304510,20
2024-04-01 04:20:00,,2304526,20
2024-04-01 04:24:25,,2304515,20
2024-04-01 04:24:53,,2304515,25
2024-04-01 04:25:54,,2304515,20
2024-04-01 04:26:15,,2304529,25
2024-04-01 04:26:25,,2304515,25
2024-04-01 04:27:19,,2304515,20
2024-04-01 04:27:06,,2304529,20
2024-04-01 04:27:23,,2304514,25
2024-04-01 04:27:55,,2304525,20
2024-04-01 04:28:18,,2304514,20
2024-04-01 04:28:27,,2304515,25
2024-04-01 04:31:12,,2304517,25
2024-04-01 04:32:01,,2304517,20
2024-04-01 04:32:31,,2304525,25
2024-04-01 04:34:07,,2304514,25
2024-04-01 04:35:04,,2304514,20
2024-04-01 04:35:53,,2304525,20
2024-04-01 04:35:44,,2304515,20
2024-04-01 04:35:47,,2304527,20
2024-04-01 04:38:03,,2304526,25
2024-04-01 04:38:30,,2304515,25
2024-04-01 04:38:53,,2304526,20
2024-04-01 04:38:47,,2304524,20
2024-04-01 04:39:17,,2304515,20
2024-04-01 04:39:02,,2304512,25
2024-04-01 04:40:20,,2304527,25
2024-04-01 04:40:52,,2304510,25
2024-04-01 04:41:09,,2304527,20
2024-04-01 04:41:51,,2304510,20
2024-04-01 04:42:16,,2304510,25
2024-04-01 04:43:14,,2304510,20
2024-04-01 04:43:00,,2304527,25
2024-04-01 04:43:04,,2304516,25
2024-04-01 04:43:54,,2304527,20
2024-04-01 04:43:50,,2304516,20
2024-04-01 04:44:41,,2304527,25
2024-04-01 04:45:17,,2304511,25
2024-04-01 04:45:40,,2304516,25
2024-04-01 04:46:17,,2304515,25
2024-04-01 04:46:06,,2304511,20
2024-04-01 04:46:17,,2304512,20
2024-04-01 04:46:33,,2304516,20
2024-04-01 04:48:09,,2304510,25
2024-04-01 04:48:59,,2304526,25
2024-04-01 04:49:02,,2304510,20
2024-04-01 04:49:23,,2304510,25
2024-04-01 04:49:58,,2304525,25
2024-04-01 04:49:52,,2304526,20
2024-04-01 04:50:56,,2304525,20
2024-04-01 04:50:51,,2304511,25
2024-04-01 04:50:50,,2304524,25
2024-04-01 04:51:16,,2304514,25
2024-04-01 04:51:03,,2304517,25
2024-04-01 04:51:47,,2304511,20
2024-04-01 04:51:55,,2304517,20
2024-04-01 04:51:44,,2304524,20
2024-04-01 04:52:07,,2304514,20
2024-04-01 04:52:12,,2304524,25
2024-04-01 04:52:27,,2304514,25
2024-04-01 04:52:43,,2304525,25
2024-04-01 04:53:38,,2304517,25
2024-04-01 04:54:34,,2304517,20
2024-04-01 04:55:06,,2304517,25
2024-04-01 04:55:35,,2304512,25
2024-04-01 04:55:54,,2304519,20
2024-04-01 04:56:14,,2304511,25
2024-04-01 04:56:36,,2304512,20
2024-04-01 04:56:48,,2304525,20
2024-04-01 04:57:13,,2304512,25
2024-04-01 04:57:12,,2304517,20
2024-04-01 05:00:04,,2304519,25
2024-04-01 05:00:46,,2304519,20
2024-04-01 05:01:58,,2304512,20
2024-04-01 05:05:08,,2304517,25
2024-04-01 05:05:56,,2304517,20
2024-04-01 05:06:21,,2304529,25
2024-04-01 05:07:16,,2304529,20
2024-04-01 05:07:38,,2304529,25
2024-04-01 05:07:59,,2304510,20
2024-04-01 05:08:57,,2304528,25
2024-04-01 05:09:15,,2304525,25
2024-04-01 05:09:56,,2304528,20
2024-04-01 05:10:33,,2304528,25
2024-04-01 05:11:16,,2304519,25
2024-04-01 05:11:53,,2304526,25
2024-04-01 05:11:53,,2304529,20
2024-04-01 05:12:14,,2304519,20
2024-04-01 05:12:12,,2304523,25
2024-04-01 05:12:41,,2304517,25
2024-04-01 05:13:04,,2304523,20
2024-04-01 05:13:02,,2304519,25
2024-04-01 05:14:03,,2304519,20
2024-04-01 05:14:35,,2304520,25
2024-04-01 05:16:00,,2304528,20
2024-04-01 05:16:52,,2304526,20
2024-04-01 05:16:56,,2304517,20
2024-04-01 05:17:20,,2304520,20
2024-04-01 05:17:37,,2304511,20
2024-04-01 05:18:01,,2304527,20
2024-04-01 05:18:09,,2304519,25
2024-04-01 05:18:25,,2304525,20
2024-04-01 05:18:31,,2304529,25
2024-04-01 05:21:14,,2304529,20
2024-04-01 05:22:18,,2304514,20
2024-04-01 05:23:18,,2304524,20
2024-04-01 05:23:32,,2304515,20
2024-04-01 05:24:17,,2304519,20
2024-04-01 05:24:45,,2304525,25
2024-04-01 05:25:09,,2304511,25
2024-04-01 05:26:09,,2304511,20
2024-04-01 05:26:21,,2304519,25
2024-04-01 05:27:12,,2304519,20
2024-04-01 05:28:09,,2304526,25
2024-04-01 05:28:07,,2304517,25
2024-04-01 05:28:09,,2304519,25
2024-04-01 05:30:28,,2304514,25
2024-04-01 05:31:18,,2304512,25
2024-04-01 05:31:39,,2304526,20
2024-04-01 05:32:15,,2304512,20
2024-04-01 05:33:32,,2304515,25
2024-04-01 05:34:24,,2304519,20
